index	title	subtitle	asset_id	link
721	Terra Brasilis, Atlas Miller	Pedro Reinel	CQFHSsVPXNjYhQ	https://artsandculture.google.com/asset/terra-brasilis-atlas-miller-pedro-reinel-jorge-reinel-and-lopo-homem/CQFHSsVPXNjYhQ
720	Portrait of an Extraordinary Musical Dog	Philip Reinagle	HwH9xO5wbbmr1g	https://artsandculture.google.com/asset/portrait-of-an-extraordinary-musical-dog-philip-reinagle/HwH9xO5wbbmr1g
719	The Oldest Mask in the World	Unknown	DQEivPUy-lKFYA	https://artsandculture.google.com/asset/the-oldest-mask-in-the-world-unknown/DQEivPUy-lKFYA
718	'Another Country' by James Baldwin	The Dial Press, New York	mQGRYpGQjih2CQ	https://artsandculture.google.com/asset/another-country-by-james-baldwin-the-dial-press-new-york/mQGRYpGQjih2CQ
717	Indoor Scenery2	Nam, Kyung Min	nAEYE5qjNGdzfg	https://artsandculture.google.com/asset/indoor-scenery2-nam-kyung-min/nAEYE5qjNGdzfg
716	Two Variations on Blue-Gray Painting with Light and Dark Lines	Robert Mangold	TQFjvXQRQq0XGg	https://artsandculture.google.com/asset/two-variations-on-blue-gray-painting-with-light-and-dark-lines-robert-mangold/TQFjvXQRQq0XGg
715	Drawings 1956-76	Donald Judd	BwHp1QQ8BSzofA	https://artsandculture.google.com/asset/drawings-1956-76-donald-judd/BwHp1QQ8BSzofA
714	The Rhinoceros	Albrecht Dürer	KgFlk_gZAkOMcQ	https://artsandculture.google.com/asset/the-rhinoceros-albrecht-d%C3%BCrer/KgFlk_gZAkOMcQ
713	The distribution of Crimean Medals on Horse Guards Parade	Sir John Tenniel	kAFIi6F_ItHYxA	https://artsandculture.google.com/asset/the-distribution-of-crimean-medals-on-horse-guards-parade-sir-john-tenniel/kAFIi6F_ItHYxA
712	Design	Alexander Rodchenko	KwE1K8M2s5TaBA	https://artsandculture.google.com/asset/design-alexander-rodchenko/KwE1K8M2s5TaBA
711	Untitled (Sketch Bauhaus products, from Alfred Arndt's class)	Eduard Ludwig	dgHxSDzBLIvWAg	https://artsandculture.google.com/asset/untitled-sketch-bauhaus-products-from-alfred-arndt-s-class-eduard-ludwig/dgHxSDzBLIvWAg
710	Untitled	László Moholy-Nagy	UgGCQ0ptveBeOw	https://artsandculture.google.com/asset/untitled-l%C3%A1szl%C3%B3-moholy-nagy/UgGCQ0ptveBeOw
709	The Vase		9wE2kPAGlNgh_w	https://artsandculture.google.com/asset/the-vase/9wE2kPAGlNgh_w
708	Ruehende Schiffe (Barcos en reposo)		MAHu6u5ZKUx8ow	https://artsandculture.google.com/asset/ruehende-schiffe-barcos-en-reposo/MAHu6u5ZKUx8ow
707	Stationery Chest	unknown	pgGlKKbiMuDgeQ	https://artsandculture.google.com/asset/stationery-chest-unknown/pgGlKKbiMuDgeQ
706	Tool cabinet 4 comp(artments) (Police Academy Pirna)	Franz Ehrlich	bwFFaF2ytzQaEg	https://artsandculture.google.com/asset/tool-cabinet-4-comp-artments-police-academy-pirna-franz-ehrlich/bwFFaF2ytzQaEg
705	RENTAL PROPERTY (4- to 5-STOREY)	Reinhold Rossig	ygHQrBBHPIrr0Q	https://artsandculture.google.com/asset/rental-property-4-to-5-storey-reinhold-rossig/ygHQrBBHPIrr0Q
